sample_id,pos_x,pos_y,pos_z,path_0_mag,path_0_delay,path_1_mag,path_1_delay,path_2_mag,path_2_delay,path_3_mag,path_3_delay,path_4_mag,path_4_delay,path_5_mag,path_5_delay,path_6_mag,path_6_delay,path_7_mag,path_7_delay,path_8_mag,path_8_delay,path_9_mag,path_9_delay
13,6.147626845639575,-5.420596106075212,1.0,1.0737451e-05,0.0,3.8537833e-06,3.635769e-08,2.1389658e-06,3.460631e-09,1.450164e-06,6.121866e-08,7.121521e-07,3.8003584e-08,6.269606e-07,3.7615635e-08,3.9664198e-07,7.78245e-09,3.280458e-07,6.242487e-08,3.2575682e-07,4.2654733e-09,2.4498127e-07,1.830067e-07
14,1.9554421179267667,2.314021423485464,1.0,7.6020096e-06,0.0,2.436161e-06,7.3410806e-09,1.8758059e-06,5.6828586e-09,7.6432184e-07,1.3117457e-08,5.353651e-07,1.5725124e-07,4.0589995e-07,1.79511e-07,3.1758807e-07,1.1796919e-08,2.5497633e-07,8.4610114e-09,2.2658607e-07,1.604287e-07,2.1551315e-07,6.881555e-09
15,-7.75905531486605,9.432376760585147,1.0,3.1411148e-06,7.162249e-08,1.78918e-06,7.884743e-08,1.0829674e-06,7.259021e-08,6.936641e-07,7.9758145e-08,4.933337e-07,1.07887026e-07,4.0932366e-07,7.28966e-08,2.7781726e-07,1.0862326e-07,2.2930818e-07,8.004667e-08,2.009696e-07,2.3873866e-07,1.8323199e-07,2.3529239e-07
16,-0.11988014088476717,-2.0916296681434243,1.0,4.3056793e-06,7.007101e-08,1.4988275e-06,0.0,5.978019e-07,7.138456e-08,5.870024e-07,7.136809e-08,4.3361968e-07,6.1369363e-09,3.890492e-07,1.0009269e-07,3.2194964e-07,6.250933e-08,2.7619168e-07,1.7474699e-07,2.5003015e-07,7.628658e-08,2.3982017e-07,1.16023e-07
17,6.640916194104275,-6.0780820348429305,1.0,9.98531e-06,0.0,4.8530023e-06,3.3013706e-08,1.9433207e-06,3.2275445e-09,1.357854e-06,5.608956e-08,1.1145166e-06,3.5348968e-08,6.337142e-07,3.4255905e-08,5.5094955e-07,3.4681655e-08,3.2219558e-07,5.7331768e-08,3.0797702e-07,7.312803e-09,2.8485374e-07,3.984244e-09
18,7.12071412527996,-3.4943416570894925,1.0,1.5245507e-05,0.0,3.2265996e-06,3.5430894e-09,7.390454e-07,7.9463085e-09,5.0484823e-07,4.3646757e-09,4.6285334e-07,3.4346314e-08,4.054837e-07,1.7439567e-07,3.230482e-07,1.8423196e-07,2.9945826e-07,1.1928194e-07,2.9251544e-07,6.577925e-08,2.8201183e-07,1.6230481e-07
19,1.577785610795413,8.215133771267435,1.0,2.406232e-06,0.0,7.9587727e-07,5.424953e-08,4.7744976e-07,6.7250156e-08,3.8223763e-07,3.4094576e-09,2.0915901e-07,1.7468007e-07,1.4282396e-07,1.0711878e-07,1.4197289e-07,7.680164e-09,1.10647804e-07,1.3010204e-07,1.055323e-07,5.5474988e-08,1.022196e-07,8.178037e-08
20,10.103737774169776,-0.8292191627570951,1.0,1.6754206e-05,0.0,2.6090993e-06,2.9416753e-09,9.061262e-07,6.399659e-08,6.850532e-07,1.8014758e-07,4.6009697e-07,3.6377337e-09,4.5809935e-07,1.6459417e-07,4.4097757e-07,6.7238446e-09,3.7061278e-07,3.3405854e-08,2.517059e-07,1.7286315e-08,2.492066e-07,5.3295395e-08
21,-11.241819312904894,5.9741536040250764,1.0,2.9906041e-06,7.8733876e-08,1.0636027e-06,1.1507247e-07,9.543664e-07,7.963338e-08,5.1615325e-07,8.782074e-08,5.0717586e-07,0.0,4.0427037e-07,8.004291e-08,2.3635404e-07,7.2690867e-09,1.458856e-07,1.1673713e-07,1.4502763e-07,8.093302e-08,1.3571533e-07,7.9855454e-08
22,-9.891614184607384,5.349333150804988,1.0,6.9222386e-07,1.2848868e-07,5.7478934e-07,9.663462e-08,5.670314e-07,0.0,3.5652877e-07,1.157333e-07,2.8878893e-07,1.2914849e-07,1.1077157e-07,1.7884261e-07,9.313411e-08,1.3006792e-07,7.758835e-08,9.7943115e-08,6.938267e-08,4.7209117e-08,5.8999557e-08,1.7935088e-07
23,-5.0997414837381045,4.267335646525675,1.0,1.2739525e-06,9.675812e-08,8.7215074e-07,0.0,8.6714476e-07,1.2515197e-07,4.3650647e-07,9.7662e-08,3.1747967e-07,1.5722577e-07,2.7113694e-07,1.5401167e-07,2.0984068e-07,3.9908574e-09,1.9280554e-07,1.4085467e-07,1.723329e-07,4.657266e-08,1.6435122e-07,4.3303302e-08
24,-1.3891358988911087,8.853774107453265,1.0,2.5857732e-06,6.106394e-08,1.2660232e-06,7.131639e-08,1.1260855e-06,6.2242734e-08,7.3606856e-07,0.0,5.6719847e-07,7.2380274e-08,5.154112e-07,9.5089604e-08,4.0897805e-07,6.2317156e-08,3.6133858e-07,1.6530862e-07,2.2918813e-07,2.2942523e-08,2.241232e-07,7.2447534e-08
25,0.9422294674490761,-11.228961439224278,1.0,1.4710351e-06,0.0,6.021851e-07,8.051618e-09,3.0157764e-07,1.372731e-07,2.4940653e-07,1.3526602e-07,1.792668e-07,1.7459158e-07,1.7427003e-07,8.173646e-08,1.6166494e-07,1.381502e-07,1.3236473e-07,2.6983535e-09,1.0867835e-07,1.6958785e-07,9.6550146e-08,1.3615312e-07
26,-0.2287356397120348,-4.417914713504647,1.0,3.3640576e-06,6.657611e-08,1.190325e-06,0.0,8.6551177e-07,6.785343e-08,6.002282e-07,1.0019675e-07,3.5132277e-07,5.0049074e-08,3.2027674e-07,4.971657e-09,2.819379e-07,1.7399228e-07,2.1512007e-07,7.9139454e-08,1.2589854e-07,6.816733e-08,1.2205463e-07,6.913384e-08
27,-1.734135732716343,-3.076864486009365,1.0,4.0756145e-06,7.295092e-08,1.2683116e-06,0.0,7.044658e-07,1.6893402e-07,6.264087e-07,1.4407578e-07,5.5829605e-07,7.426237e-08,4.5933263e-07,5.424477e-09,3.1260663e-07,1.6952895e-07,2.6241466e-07,1.6283391e-07,2.3769752e-07,1.8088463e-07,1.8476103e-07,2.0713692e-07
28,5.386631598870295,-7.681864332931649,1.0,6.564221e-06,0.0,4.016817e-06,3.7496445e-08,1.0374495e-06,3.1267575e-09,7.3510284e-07,3.9035644e-08,6.229553e-07,9.381631e-08,5.895348e-07,3.8718998e-08,4.2459527e-07,6.380998e-08,3.815893e-07,7.1067845e-09,2.5106792e-07,4.3036113e-08,2.375344e-07,2.2561085e-07
29,10.485913899846402,-6.192960591821098,1.0,1.1040595e-05,0.0,1.2192907e-06,2.5275533e-09,1.129272e-06,3.7601012e-08,7.463444e-07,1.2737324e-08,4.930188e-07,7.2776565e-08,4.865241e-07,1.1918104e-08,4.82538e-07,5.845809e-09,3.8312504e-07,1.35562e-08,3.7758173e-07,1.6182307e-07,3.5719526e-07,1.6104212e-07
30,-8.830367257024935,-1.2964015046448942,1.0,2.559421e-06,8.1090406e-08,1.2141121e-06,8.206467e-08,6.919846e-07,0.0,4.4546908e-07,1.06221336e-07,3.261885e-07,1.2709724e-07,2.080451e-07,1.3155065e-07,1.9566876e-07,8.2305036e-08,1.9076029e-07,1.9924124e-07,1.6976931e-07,1.0733872e-07,1.6822892e-07,8.3377756e-08
31,6.219270156229975,8.183931504359638,1.0,6.733784e-06,0.0,1.0966153e-06,2.9091929e-09,5.924795e-07,3.4414402e-08,4.819972e-07,1.5376638e-07,3.8005734e-07,1.5996581e-07,3.732512e-07,4.9645873e-08,2.5241593e-07,9.196128e-08,2.1750132e-07,6.656027e-09,1.6632266e-07,3.598256e-09,1.344552e-07,2.627424e-08
32,-7.117318482807068,-8.712798684902797,1.0,1.1997477e-06,7.296543e-08,5.668131e-07,0.0,5.4528425e-07,8.1947476e-08,3.7833217e-07,1.1677194e-07,3.3155385e-07,1.1448597e-07,2.911877e-07,1.0750121e-07,2.3604916e-07,1.7183994e-07,1.7141126e-07,7.3209804e-08,1.5823562e-07,7.423347e-08,1.5326134e-07,2.7853403e-08
33,-0.19505019071320362,2.8279766133263813,1.0,1.3804677e-06,0.0,9.830165e-07,9.638883e-08,6.656712e-07,1.09572625e-07,5.8404834e-07,1.505798e-07,4.4429737e-07,1.7441879e-07,3.74819e-07,5.7817466e-09,3.309931e-07,5.8801323e-08,2.3702414e-07,7.74271e-08,2.3346911e-07,1.7500113e-07,1.6930908e-07,1.5217185e-07
34,4.027205072581106,10.261787662758888,1.0,3.7095458e-06,3.9900474e-08,3.4435946e-06,0.0,1.3986208e-06,4.742162e-08,9.1964154e-07,1.3564222e-08,6.396037e-07,9.838466e-08,6.280193e-07,4.129625e-08,5.020443e-07,4.1084146e-08,4.406484e-07,4.8697945e-08,3.3922683e-07,2.7478926e-09,2.1535446e-07,9.919147e-08
