sample_id,pos_x,pos_y,pos_z,path_0_mag,path_0_delay,path_1_mag,path_1_delay,path_2_mag,path_2_delay,path_3_mag,path_3_delay,path_4_mag,path_4_delay,path_5_mag,path_5_delay,path_6_mag,path_6_delay,path_7_mag,path_7_delay,path_8_mag,path_8_delay,path_9_mag,path_9_delay
575,8.074603377025422,-8.132664586877084,1.0,0.00032031522,0.0,0.00014898358,2.3552474e-08,4.773081e-05,2.3299783e-08,3.235288e-05,2.6606095e-09,3.235021e-05,2.6606024e-09,1.9974697e-05,2.52669e-08,1.8408558e-05,1.6167286e-07,1.7204517e-05,8.432989e-08,1.0257528e-05,2.5266907e-08,8.659252e-06,4.1690626e-08
576,7.732054689269994,6.239405060875281,1.0,0.00041638457,0.0,0.00016283897,2.695456e-08,5.3583593e-05,2.989303e-09,3.8347465e-05,3.3261287e-08,1.8688661e-05,8.408222e-08,1.8362736e-05,2.8705216e-08,1.161057e-05,3.6955932e-09,1.1610215e-05,3.695586e-09,9.376205e-06,2.7096661e-08,6.6972857e-06,8.500734e-08
577,-2.8667150484182446,-3.7244112492617782,1.0,4.386434e-05,0.0,3.1875883e-05,7.530528e-08,3.0339703e-05,7.5305266e-08,1.0267986e-05,4.8366164e-09,1.0180423e-05,1.1439974e-07,6.0811653e-06,7.662389e-08,5.071904e-06,7.5592595e-08,4.9017576e-06,7.659922e-08,3.1199006e-06,1.0363099e-08,2.5141487e-06,3.5038767e-08
578,8.962059779203646,-11.257488724771784,1.0,0.00022270343,0.0,0.00012579322,1.6891075e-08,7.538979e-05,6.5121206e-09,5.2753083e-05,2.1885196e-08,2.0884067e-05,1.853866e-08,1.9904262e-05,1.5257069e-07,1.1189068e-05,1.853866e-08,8.427039e-06,2.1855229e-09,8.424306e-06,2.1855229e-09,8.194112e-06,8.4539025e-09
579,-6.264029699031278,-2.736957744347464,1.0,3.418049e-05,0.0,2.672746e-05,1.1362956e-07,1.1863361e-05,1.144218e-07,7.097319e-06,3.9206594e-09,5.346945e-06,8.146747e-08,3.0688677e-06,8.1750244e-08,3.0528763e-06,1.1451457e-07,2.7123672e-06,9.452167e-09,2.6552825e-06,1.155235e-07,2.061119e-06,3.1618356e-08
580,-11.151909018929711,2.187048977190173,1.0,9.770609e-05,8.135784e-08,3.865795e-05,9.028551e-08,3.5931043e-05,8.226985e-08,3.5549772e-05,8.226985e-08,2.2470213e-05,0.0,1.5908101e-05,1.03802705e-07,1.5066297e-05,9.113553e-08,7.592837e-06,8.443983e-09,5.5506202e-06,8.353534e-08,4.998411e-06,2.6144951e-07
581,7.566557196201831,2.7218729185063406,1.0,0.0006672032,0.0,0.00018196988,3.039166e-08,0.00010193408,3.5085819e-09,0.00010193323,3.5085783e-09,2.899964e-05,6.534101e-08,2.827271e-05,4.9649174e-08,2.2589193e-05,7.87789e-09,2.1874937e-05,8.008924e-08,2.0140089e-05,4.3231836e-09,1.3596205e-05,2.9773439e-08
582,8.665705610866112,-10.132111298801224,1.0,0.00025227224,0.0,0.00013404206,1.9059176e-08,6.344188e-05,1.2502532e-08,2.0665106e-05,2.0736667e-08,1.9374082e-05,1.5588411e-07,1.5753732e-05,8.349133e-08,1.5442665e-05,2.3375257e-09,1.5439811e-05,2.3375257e-09,1.0715699e-05,2.073666e-08,8.434758e-06,1.3629677e-08
583,6.1866965557418965,1.5705208040161747,1.0,0.00075971964,0.0,0.00017386673,3.924426e-08,0.0001233183,4.0945825e-09,0.0001233169,4.0945825e-09,2.7905093e-05,7.598702e-08,2.720454e-05,1.6283956e-07,2.7099271e-05,9.011668e-09,2.37044e-05,8.428732e-08,2.2652674e-05,5.679841e-08,2.2622138e-05,5.024109e-09
584,11.439538289060291,-5.700370657121153,1.0,0.00046039882,0.0,0.00018894325,6.176247e-09,5.0762443e-05,3.1343575e-08,3.376057e-05,2.4248763e-09,3.3755765e-05,2.4248763e-09,2.2415506e-05,6.542279e-08,1.9046247e-05,8.3192475e-09,1.7574484e-05,6.807028e-08,1.1235458e-05,1.1181491e-08,1.0613747e-05,3.279346e-08
